state,boleto,credit_card,debit_card,voucher,total,financial_inclusion_ratio
AC,1767.0,5936.0,22.0,599.0,8324.0,0.7157616530514176
AL,6243.0,28876.0,583.0,952.0,36654.0,0.8037049162437934
AM,825.0,5219.0,79.0,164.0,6287.0,0.8426912676952442
AP,1543.0,3789.0,0.0,241.0,5573.0,0.6798851605957295
BA,71132.0,315979.0,4379.0,33114.0,424604.0,0.7544865333345894
CE,9796.0,57578.0,794.0,3503.0,71671.0,0.8144437778180854
DF,18433.0,81718.0,1009.0,4381.0,105541.0,0.7838375607583783
ES,67884.0,268202.0,5046.0,18122.0,359254.0,0.7605983510274068
GO,33582.0,111486.0,1470.0,6769.0,153307.0,0.736796101939246
MA,16289.0,40996.0,151.0,1566.0,59002.0,0.6973831395545914
MG,645837.0,2468702.0,34823.0,163753.0,3313115.0,0.7556408395120604
MS,18748.0,49286.0,1024.0,2121.0,71179.0,0.706809592716953
MT,31946.0,107656.0,1169.0,7167.0,147938.0,0.7356122159282943
PA,18690.0,68187.0,1318.0,4040.0,92235.0,0.7535642651921721
PB,6170.0,24053.0,660.0,1567.0,32450.0,0.7615716486902928
PE,23349.0,96237.0,1170.0,4558.0,125314.0,0.7773034138244729
PI,4821.0,19615.0,651.0,1179.0,26266.0,0.7715678062894997
PR,150760.0,528280.0,7212.0,32945.0,719197.0,0.7445692904725687
RJ,572017.0,2646650.0,45947.0,194810.0,3459424.0,0.7783367982646822
RN,4313.0,18245.0,356.0,1155.0,24069.0,0.7728198097137396
RO,6258.0,16353.0,184.0,678.0,23473.0,0.7045115664806373
RR,623.0,1317.0,0.0,0.0,1940.0,0.6788659793814433
RS,221810.0,654500.0,12806.0,44000.0,933116.0,0.7151372390999619
SC,135073.0,452299.0,6970.0,22876.0,617218.0,0.7440952791396233
SE,5900.0,19266.0,535.0,1501.0,27202.0,0.7279244173222558
SP,1253677.0,4733677.0,120394.0,358561.0,6466309.0,0.7506710551568135
TO,4745.0,14121.0,144.0,2928.0,21938.0,0.6502415899352721
